;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
40332;202200044785;3;9;0;;-1;2;0;1;1;400;3;; -1;2;0;1;70
40333;202200044786;4;;-1;;2;2;0;2;(1);(1);1;;4;1;0;3;-1
40334;202200044787;3;980;-1;;2;2;0;2;5;20;3;; -1;1;0;1;90
40335;202200044788;4;AVE JEAN BABIN;0;;2;3;1;1;(1);(1);1;; -1;1;0;1;30
40336;202200044792;3;9;0;;2;2;0;1;28;770;2;; -1;1;0;1;80
40337;202200044793;7;FIL D'ARIANE (RD902);0;;1;3;0;1;3;845;1;; -1;2;0;1;90
40338;202200044794;3;17;0;;2;2;0;1;0;728;1;; -1;1;2;1;50
40339;202200044795;3;12;-1;;2;2;0;1;21;300;4;; -1;2;0;3;80
40340;202200044796;3;;-1;;2;2;0;1;5;160;4;; -1;1;0;1;80
40341;202200044797;3;19;0;D;2;2;0;2;28;200;2;; -1;1;0;1;90
40342;202200044798;3;1212;0;D;2;2;0;2;8;460;1;; -1;1;0;1;-1
40343;202200044800;3;CORAY ROUTE DE;0;;2;2;0;1;2;150;1;; -1;1;0;1;50
40344;202200044801;3;1203;0;;2;2;0;2;16;800;2;; -1;1;0;1;80
40345;202200044802;3;67;0;D;2;2;0;1;0;380;2;; -1;2;0;3;80
40346;202200044803;2;88;-1;;2;2;0;2;40;500;3;; -1;2;0;1;80
40347;202200044804;3;;-1;;2;2;0;1;3;354;1;;4;1;0;1;50
40348;202200044805;4;LE LAY ( AVENUE ALAIN );0;;1;1;2;1;(1);(1);1;; -1;1;0;8;50
40349;202200044806;3;919;0;D;2;2;0;1;6;630;1;; -1;1;0;1;50
40350;202200044807;3;48;-1;;2;2;0;1;18;300;1;; -1;1;0;1;-1
40351;202200044808;4;46;0;;2;2;0;2;(1);(1);1;; -1;1;0;1;50
40352;202200044809;4;MASSON PAUL (DE 91 A 131 ET 98 A 134);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
40353;202200044810;3;7;0;R;2;2;0;4;36;824;1;; -1;1;0;1;50
40354;202200044811;3;965;-1;;2;2;0;1;8;515;1;; -1;1;5;1;-1
40355;202200044812;4;FRANCE ANATOLE (DE 1 A 53 ET 2 A 46);0;;2;2;0;1;(1);(1);1;; -1;2;0;4;30
40356;202200044813;3;68;0;D;2;2;0;1;53;800;2;;5,5;1;0;3;90
40357;202200044814;3;4085;0;;2;2;0;1;11;700;1;; -1;2;0;1;50
40358;202200044815;4;DONNART MATHIEU (DE 42 ET 61 A FIN);0;;2;2;0;2;(1);(1);1;; -1;2;0;1;50
40359;202200044816;3;676;-1;;2;2;0;1;8;430;1;; -1;1;0;1;50
40360;202200044817;3;144;0;;2;2;1;1;4;350;1;; -1;1;0;3;70
40361;202200044818;3;41;0;;2;2;0;2;17;483;3;; -1;1;0;1;50
40362;202200044819;9;D8;-1;;-1;2;0;1;(1);(1);1;; -1;1;9;8;-1
40363;202200044820;3;FOCH AVENUE MARECHAL;0;;2;4;3;2;35;300;2;; -1;2;5;1;50
40364;202200044821;3;731;-1;;2;2;0;1;19;483;1;; -1;1;0;1;50
40365;202200044823;3;;0;;1;1;0;2;87;750;1;;3,5;9;3;3;80
