;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
0;202100000001;3;981;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
1;202100000002;3;20;0;E;2;2;0;1;0;10;1;; -1;1;0;1;80
2;202100000003;4;GENERAL GALLIENI (BOULEVARD DU);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
3;202100000004;3;GENERAL GALLIENI (BOULEVARD DU);0;;2;4;0;1;0;1;1;; -1;1;0;1;50
4;202100000005;7;PARIS. ROUTE DE;-1;;2;2;-1;1;11;150;1;; -1;1;0;1;50
5;202100000006;4;;-1;;2;2;0;1;(1);(1);1;;4;1;0;1;50
6;202100000007;4;REPUBLIQUE (PLACE DE LA);0;;2;0;0;1;0;1;1;; -1;1;5;1;50
7;202100000008;2;1;0;;2;2;0;1;5;500;1;; -1;1;0;1;40
8;202100000009;3;REPUBLIQUE (RUE DE LA) N° 47 A 85;0;;2;3;0;1;0;0;1;; -1;2;0;1;50
9;202100000010;2;VAILLANT COUTURIER (AVENUE PAUL);0;;1;4;3;1;(1);(1);1;; -1;1;3;6;50
10;202100000011;3;VAILLANT COUTURIER (AVENUE PAUL);0;;2;4;0;1;0;0;3;; -1;1;9;1;50
11;202100000012;3;20;0;D;2;2;0;1;2;100;2;; -1;1;0;1;80
12;202100000013;2;2;0;;3;4;3;1;10;50;1;; -1;1;0;1;110
13;202100000014;3;39;0;;2;4;0;4;0;0;1;; -1;1;0;1;50
14;202100000016;3;15;-1;;2;2;0;1;24;700;1;; -1;2;0;8;50
15;202100000017;1;26;0;;3;4;0;1;259;950;1;; -1;1;0;1;130
16;202100000018;1;;-1;;2;4;-1;1;204;0;1;; -1;1;7;1;90
17;202100000019;3;201;-1;;2;2;0;2;20;165;3;; -1;1;0;1;80
18;202100000020;3;AV FRANCOIS MITTERRAND;0;;3;5;0;1;56;0;1;; -1;1;0;1;50
19;202100000021;4;CARNOT (AVENUE);0;;2;2;0;1;(1);(1);1;; -1;1;5;1;50
20;202100000022;3;AV FRANCOIS MITTERRAND;0;;-1;2;0;1;(1);(1);1;; -1;1;1;1;50
21;202100000023;3;RUE DES 5 EME ET 15 EME B.C.P.;0;;2;2;0;1;0;100;1;; -1;1;0;1;30
22;202100000024;3;NAVES (RUE DE);0;;3;2;0;1;(1);(1);1;; -1;1;0;1;40
23;202100000025;3;435;0;;2;2;0;2;4;900;2;; -1;2;0;1;80
24;202100000026;1;6;-1;;3;4;0;1;234;500;1;; -1;1;0;1;130
25;202100000027;3;965;0;;2;2;0;2;24;300;1;; -1;1;0;1;90
26;202100000028;4;GOSSELIN ( RUE ALFRED );0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
27;202100000029;4;FAIDHERBE ( BOULEVARD );0;;1;2;0;1;(1);(1);1;; -1;2;0;1;50
28;202100000030;3;SAINTE CROIX (RUE DU FAUBOURG);0;;2;3;0;2;0;0;1;; -1;1;0;1;50
29;202100000031;3;CD940;0;;-1;1;0;1;9;378;1;; -1;1;9;8;10
30;202100000032;2;RN 184;0;;1;2;0;1;0;0;1;; -1;2;0;1;70
31;202100000033;4;PRADO (AVENUE DU);0;;1;6;0;1;0;0;1;; -1;1;0;1;50
32;202100000034;4;GRANDS CHAMPS RUE DES;0;;2;1;0;1;0;0;1;; -1;1;0;4;50
33;202100000035;4;LASHERMES (RUE);-1;;1;1;-1;1;(1);(1);1;; -1;1;0;8;50
34;202100000036;3;902;0;D;2;2;0;2;91;500;3;; -1;2;0;3;80
35;202100000037;4;;-1;;2;2;0;2;(1);(1);1;; -1;1;5;1;50
36;202100000038;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
37;202100000040;4;CHARLES DE GAULLE (AV);0;;-1;4;0;1;0;0;1;; -1;1;0;1;50
38;202100000041;3;406;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
39;202100000042;3;;-1;;2;2;0;1;5;793;1;; -1;1;0;1;70
40;202100000043;3;D6;0;;2;2;0;1;28;550;3;; -1;2;0;1;80
41;202100000044;2;;-1;;3;4;0;1;7;190;1;; -1;1;8;1;70
42;202100000045;3;JEAN JAURES (AVE) 55 A 129;0;;2;7;3;1;0;0;1;; -1;1;0;1;50
43;202100000046;3;;-1;;2;2;2;2;43;930;3;; -1;1;-1;1;50
44;202100000047;4;SAINT HONORE;0;;2;0;0;1;0;0;1;; -1;1;0;1;50
45;202100000048;3;184;-1;;2;1;0;1;3;250;1;;3;1;0;1;80
46;202100000049;3;LATTRE DE TASSIGNY AVENUE DE L';0;;1;2;2;1;18;40;1;; -1;1;2;1;50
47;202100000050;3;PASTEUR(PLACE);0;;2;0;0;1;0;320;1;; -1;1;0;1;50
48;202100000051;4;SQUARE DE L HERACLES;0;;2;2;0;1;(1);(1);1;; -1;1;2;1;50
49;202100000052;4;BOBILLOT (RUE DU SERGENT);0;;2;2;0;1;(1);(1);1;; -1;1;9;1;50
50;202100000053;3;BRUYERES (RTE DES...N°97et+ ET 66 et+ );-1;;3;2;0;3;60;165;1;; -1;1;9;8;50
51;202100000055;4;HUBERT DE LISLE(BOULEVARD);0;;1;1;2;1;0;0;1;; -1;1;0;5;50
52;202100000056;9;ANCIENNE RN 1;0;;2;2;0;1;30;0;1;; -1;1;9;8;70
53;202100000057;7;RIVE DE GIER (DE) (RTE);0;;2;2;0;1;4;900;3;; -1;2;0;1;80
54;202100000058;4;NOTRE DAME DU THIL (RUE);0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
55;202100000060;7;21;-1;;2;2;0;1;0;0;1;; -1;1;5;1;80
56;202100000062;4;LILAS ( AVENUE DES );0;;2;1;0;1;(1);(1);1;; -1;1;0;1;30
57;202100000064;1;;-1;;2;-1;-1;1;92;600;1;; -1;1;0;1;-1
58;202100000065;9;LILATTES;0;;-1;1;3;1;0;0;1;; -1;1;6;6;5
59;202100000067;3;ALBERT THOMAS(RUE);0;;2;2;0;1;1;750;1;; -1;1;0;1;50
60;202100000068;3;14;0;A;2;2;0;2;1;870;3;; -1;2;0;3;80
61;202100000070;4;;-1;;2;2;-1;1;(1);(1);1;;5,5;1;0;1;-1
62;202100000071;4;DUPONT ALPHONSE (RUE);0;;1;0;0;1;(1);(1);1;; -1;1;0;1;30
63;202100000072;1;;-1;;1;3;-1;1;1;600;1;; -1;1;0;1;70
64;202100000073;3;LIBERATION (AV. DE LA);0;;2;2;0;1;14;780;1;; -1;1;0;4;50
65;202100000074;4;ONZE NOVEMBRE 1918 (RD PT DU);0;;1;2;0;2;(1);(1);3;; -1;1;2;1;50
66;202100000075;1;13;0;A;3;3;0;1;74;0;1;; -1;1;0;1;130
67;202100000076;4;GAVOT (AVENUE DE)  CD11;0;;2;2;0;2;1;0;1;; -1;1;0;1;50
68;202100000077;6;MITTERAND ( ESPLANADE FRANCOIS );0;;-1;-1;0;1;(1);(1);1;; -1;2;0;1;50
69;202100000078;4;PICARDIE (AVENUE DE);0;;2;2;0;1;1;(1);1;; -1;1;0;1;50
70;202100000079;3;ROCADE (RUE DE LA ........);-1;;2;2;-1;1;65;0;1;; -1;1;0;1;50
71;202100000080;3;BONDUELLE (RUE DU DOCTEUR);0;;2;2;0;2;19;825;3;; -1;2;3;8;50
72;202100000081;4;DUMONT D'URVILLE. BOULEVARD;0;;2;2;0;1;0;0;3;; -1;1;0;1;50
73;202100000082;4;CARNOT (AVENUE);0;;-1;3;0;2;(1);(1);1;; -1;1;0;1;50
74;202100000083;4;;-1;;2;3;2;1;(1);(1);1;; -1;1;0;1;50
75;202100000084;3;VICTOR GUICHARD (RUE);0;;2;2;0;1;0;600;1;; -1;1;5;1;50
