;Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
79330;201300051924;0;7;0;0.0;1.0;1.0;1.0;A01
79331;201300051925;0;7;0;0.0;2.0;9.0;23.0;B01
79332;201300051925;0;7;0;0.0;2.0;1.0;2.0;A01
79333;201300051926;0;7;0;11.0;0.0;1.0;14.0;A01
79334;201300051927;0;32;0;0.0;1.0;1.0;1.0;A01
79335;201300051928;0;31;0;0.0;0.0;0.0;21.0;A01
79336;201300051929;0;33;0;0.0;2.0;1.0;7.0;A01
79337;201300051929;0;7;0;0.0;2.0;2.0;16.0;B01
79338;201300051930;0;7;0;0.0;1.0;1.0;1.0;A01
79339;201300051931;0;7;0;14.0;0.0;1.0;1.0;A01
79340;201300051932;0;7;0;14.0;0.0;1.0;1.0;A01
79341;201300051934;0;34;0;0.0;1.0;1.0;16.0;A01
79342;201300051935;0;7;0;0.0;2.0;3.0;16.0;B01
79343;201300051935;0;32;0;0.0;2.0;1.0;1.0;A01
