;Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
1618;202000001786;22;6;2020;15:45;1;33;33318;2;3;1;6;AVE DU GENERAL LECLERC / RUE LEON MORIN;44,7960100; -0,6672800
1619;202000001787;11;6;2020;04:44;4;33;33162;1;6;2;2;RTE DE LACANAU / AVE JEAN MERMOZ;44,8754085; -0,6604393
1620;202000001788;16;6;2020;18:01;1;33;33063;2;2;1;6;CRS VICTOR HUGO / RUE SAINT-JAMES;44,8350649; -0,5713267
1621;202000001789;21;6;2020;02:20;5;33;33529;2;1;1;3;OCEAN (BD DE L');44,6137900; -1,2021100
1622;202000001790;20;6;2020;17:40;1;32;32013;2;1;1;2;CHARLES CROS;43,6643400;0,5923200
1623;202000001792;22;6;2020;00:50;5;31;31555;2;3;1;3;BD PIERRE PAUL RIQUET;43,6050400;1,4565900
1624;202000001793;21;6;2020;13:45;1;31;31149;2;1;1;3;RP GALILEE;43,6094300;1,3079000
1625;202000001794;20;6;2020;02:40;5;31;31555;2;1;1;6;BD DE LA GARE;43,6039300;1,4572300
1626;202000001795;19;6;2020;16:10;1;31;31149;2;1;1;6;BD DE L'EUROPE;43,6018400;1,3523000
1627;202000001796;19;6;2020;08:05;2;30;30189;1;1;1;1;ALES (ROUTE);43,8765000;4,3138000
1628;202000001797;20;6;2020;20:00;1;30;30189;1;1;1;3;BEAUCAIRE (ROUTE);43,8344984;4,4139048
1629;202000001798;20;5;2020;15:40;1;30;30189;2;4;1;6;TEDENAT (RUE);43,8366800;4,3566870
1630;202000001799;21;6;2020;10:30;1;22;22215;1;1;2;3;PORET ROUAULT (RUE DE LA);48,4829800; -2,7768600
1631;202000001800;17;10;2020;19:45;5;33;33318;2;2;1;1;AVE DU GENERAL LECLERC;44,7991800; -0,6631400
1632;202000001801;17;10;2020;19:15;5;33;33063;2;2;1;2;CRS DU MEDOC  (à 49,63 m du CRS BALGUERIE STUTTENBERG);44,8587200; -0,5673400
1633;202000001802;19;10;2020;00:30;5;33;33009;2;1;1;6;GAMBETTA (AVE) DU 30 ET +;44,6572800; -1,1680400
1634;202000001803;18;10;2020;17:44;1;29;29232;1;9;1;3;N165 - Park Poullig;48,0330900; -4,0836800
1635;202000001804;16;10;2020;16:16;1;25;25056;2;1;1;4;DOLE RUE DE (entre 82 et 185);47,2283040;5,9856070
1636;202000001805;17;10;2020;21:05;5;18;18033;2;2;1;3;JURANVILLE (BOULEVARD DE);47,0849000;2,3886500
1637;202000001806;18;10;2020;17:10;1;13;13206;2;2;1;3;LIEUTAUD (COURS);43,2911100;5,3830800
1638;202000001807;17;10;2020;01:17;5;13;13203;2;3;1;1;PLOMBIERES (BOULEVARD DES);43,3148768;5,3878495
1639;202000001808;17;10;2020;12:35;1;13;13028;2;1;1;5;ROUMANILLE (AVENUE JOSEPH);43,1923700;5,6179900
1640;202000001809;17;10;2020;09:10;1;13;13028;2;1;1;3;DULAC (AVENUE GUILLAUME);43,1866900;5,6080700
1641;202000001810;18;10;2020;17:30;1;07;07281;2;1;1;3;BOUVAT (QUAI JULES);44,9443000;4,8444000
1642;202000001811;18;10;2020;17:50;1;06;06069;2;1;1;3;KENNEDY (BOULEVARD DU PRESIDENT);43,6668640;6,9290860
1643;202000001812;18;10;2020;18:35;2;75;75113;2;1;1;2;PORTE D IVRY;48,8204060;2,3754440
1644;202000001814;18;10;2020;14:10;1;75;75120;2;4;1;4;ECHANGEUR BAGNOLET;48,8663780;2,4140470
1645;202000001815;18;10;2020;16:20;1;75;75118;2;3;1;3;RUE STEPHENSON;48,8880130;2,3561760
1646;202000001816;18;10;2020;17:15;1;75;75114;2;2;1;3;RUE VERCINGETORIX;48,8343560;2,3136420
1647;202000001817;17;10;2020;19:42;5;75;75113;2;2;1;3;BOULEVARD DU GENERAL JEAN SIMON;48,8256700;2,3820820
1648;202000001818;17;10;2020;12:52;1;75;75113;2;1;1;5;RUE DE TOLBIAC;48,8261240;2,3561660
1649;202000001819;17;10;2020;19:00;2;75;75109;2;1;1;2;RUE PIERRE FONTAINE;48,8833530;2,3327780
1650;202000001820;18;10;2020;14:55;1;75;75108;2;3;1;4;AVENUE DES CHAMPS ELYSEES;48,8718850;2,3008730
1651;202000001821;18;10;2020;12:05;1;75;75107;2;1;1;3;AVENUE DE LA MOTTE PICQUET;48,8548850;2,3064320
1652;202000001822;18;10;2020;18:15;1;75;75104;2;3;1;6;RUE DES TOURNELLES;48,8534520;2,3672410
1653;202000001823;18;10;2020;20:20;5;93;93001;2;3;1;3;VICTOR HUGO (AVE)  N° 122 =>;48,9116541;2,3794630
1654;202000001824;16;10;2020;15:00;1;92;92036;2;1;1;6;JEAN JAURES (RUE) (35/+);48,9298870;2,2950500
