;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
0;202000000002;4;MOUSSEAUX(CHEMIN);0;;2;2;0;1;0;100;3;; -1;1;0;1;50
1;202000000003;4;CARNOT(AVENUE);0;;-1;2;0;1;0;0;1;; -1;1;0;1;50
2;202000000004;4;VICTOR HUGO (AVENUE);0;;2;2;0;1;1;0;1;; -1;1;0;1;30
3;202000000005;3;35;0;;1;1;0;1;4;674;2;; -1;1;3;8;50
4;202000000006;3;D6015;0;;2;3;0;1;66;170;1;; -1;2;0;1;80
5;202000000008;4;;0;;2;4;0;1;(1);(1);1;; -1;2;5;1;50
6;202000000009;3;928;0;;2;2;0;1;6;0;1;; -1;1;5;1;50
7;202000000010;3;941;0;;2;2;0;1;134;400;1;;5;1;0;1;80
8;202000000011;7;22;0;;2;3;0;1;(1);(1);3;; -1;1;0;1;50
9;202000000012;4;LECLERC (RUE DU MARECHAL);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
10;202000000013;4;;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
11;202000000014;4;;0;;2;2;1;1;(1);(1);3;; -1;1;0;1;50
12;202000000015;3;GEORGES CLEMENCEAU (AVENUE);0;;2;2;0;2;0;0;3;; -1;2;0;4;50
13;202000000016;4;VERN (DE);0;;2;2;0;1;0;0;1;; -1;1;5;1;50
14;202000000017;4;GRIMAULT (BD LEON);0;;3;2;2;1;(1);(1);1;; -1;1;0;5;50
15;202000000018;4;CHATEAUGIRON (DE);0;;2;4;0;1;0;0;1;; -1;2;5;1;50
16;202000000019;3;5;0;;2;2;0;2;21;203;3;;5;2;0;3;80
17;202000000020;4;40 avenue du 8 Mai ;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
18;202000000021;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
19;202000000022;4;LUXEMBOURG   AVENUE DE;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
20;202000000023;4;;0;;2;4;0;2;0;0;1;; -1;1;2;1;50
21;202000000024;4;;0;;1;2;0;4;0;0;1;; -1;1;0;1;50
22;202000000026;4;VAL FLEURI CHEMIN DU;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
23;202000000027;4;CURIE PIERRE ET MARIE AVENUE;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
24;202000000030;4;;0;;1;1;0;1;0;0;1;; -1;2;0;1;50
25;202000000031;4;;0;;3;4;0;1;0;0;1;; -1;2;0;1;50
26;202000000033;4;;0;;2;4;3;1;0;0;1;; -1;1;0;6;50
27;202000000034;4;;0;;1;2;1;1;0;0;1;; -1;1;0;5;30
28;202000000035;4;;0;;1;3;3;1;0;0;1;; -1;1;0;6;50
29;202000000036;3;PRESIDENT WILSON (AV DU);0;;2;2;0;1;0;1;1;; -1;1;0;1;50
30;202000000037;3;LEON GOURDAULT (AV);0;;1;2;0;1;0;1;1;; -1;1;5;1;50
31;202000000038;3;4;0;;2;2;0;1;0;1;1;; -1;1;0;1;50
32;202000000039;3;219;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
33;202000000040;4;;0;;1;1;0;1;0;0;1;; -1;1;9;1;10
34;202000000041;3;GENERAL DE GAULLE (AVENUE);0;;3;4;0;1;1;0;1;; -1;1;0;1;50
35;202000000042;3;933;0;;3;4;0;1;0;1;1;; -1;1;0;1;50
36;202000000043;3;PARIS RUE DE;0;;2;2;0;1;0;1;1;; -1;1;9;8;50
37;202000000044;3;901;0;;3;5;0;1;1;1;1;; -1;1;0;1;50
38;202000000046;3;40;0;;3;6;0;1;0;1;1;; -1;1;5;1;50
39;202000000047;3;986;0;;1;3;3;2;0;0;1;; -1;1;0;6;50
40;202000000048;3;643;0;D;2;2;0;1;44;272;3;; -1;1;0;1;50
41;202000000049;3;118;-1;D;-1;2;0;1;(1);(1);1;; -1;1;5;1;30
42;202000000050;3;900;-1;D;3;4;0;3;(1);(1);1;; -1;1;0;3;110
43;202000000051;4;Rue Ernest Renan;-1;;2;2;0;2;(1);(1);1;;7;2;0;1;50
44;202000000052;3;817;-1;;2;2;0;2;19;950;3;; -1;1;0;1;80
45;202000000053;4;517;-1;;2;2;0;1;(1);(1);4;; -1;1;0;3;80
46;202000000054;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;3;50
47;202000000055;3;12;2;;2;2;0;1;4;810;1;; -1;1;0;1;50
48;202000000056;3;33;0;;2;2;0;1;39;551;1;; -1;2;0;3;80
49;202000000057;4;;0;;2;2;0;1;(1);(1);1;;4;1;0;3;50
50;202000000058;3;73;0;;2;2;0;1;26;50;1;; -1;1;9;3;80
51;202000000060;3;D943;-1;;2;2;0;2;45;600;2;; -1;1;0;3;80
52;202000000061;3;175;-1;;2;2;0;2;1;424;1;; -1;1;0;3;80
53;202000000062;3;338;0;D;2;3;0;1;(1);(1);1;; -1;2;0;1;50
54;202000000063;3;6098;-1;;2;2;0;1;10;295;1;; -1;1;0;1;50
55;202000000064;3;916;0;D;2;2;0;1;18;100;1;; -1;1;0;1;-1
56;202000000066;4;;0;;2;2;0;1;(1);(1);1;;4;1;0;4;-1
57;202000000067;3;430;-1;;2;2;0;1;0;800;2;; -1;1;5;1;50
58;202000000068;3;5;-1;;2;2;0;2;42;415;1;0;6;1;0;3;80
59;202000000069;3;86;-1;;2;2;0;1;61;550;1;; -1;1;5;1;50
60;202000000070;9;PC;0;U;2;2;1;1;8;400;1;; -1;2;9;5;30
61;202000000071;3;939;0;;2;2;0;1;65;0;1;; -1;1;0;3;50
62;202000000072;3;939E2;2;E;2;2;0;2;6;430;3;; -1;2;0;3;80
63;202000000073;3;274;-1;;2;2;0;1;4;600;3;; -1;1;0;1;80
64;202000000074;3;115;-1;;2;2;0;2;4;800;1;; -1;1;5;1;70
65;202000000075;3;17;-1;;2;2;1;2;21;600;1;; -1;1;0;1;50
66;202000000076;4;;0;;2;2;3;1;(1);(1);1;;4;1;9;6;50
67;202000000077;3;4;-1;;2;2;0;1;0;40;3;; -1;1;0;3;80
68;202000000078;1;6;-1;A;3;3;0;1;89;200;1;; -1;2;0;4;130
69;202000000080;1;2;0;;1;4;0;1;21;700;1;; -1;1;0;1;130
70;202000000081;2;3;0;;2;2;0;1;133;350;1;; -1;1;0;1;50
71;202000000082;3;203;0;D;2;2;0;1;3;350;1;; -1;1;9;4;70
72;202000000084;3;674;-1;;2;2;0;2;13;300;1;; -1;1;0;1;50
73;202000000085;3;420;-1;;2;2;0;1;7;300;1;; -1;1;9;1;50
74;202000000086;3;995;-1;;2;2;0;3;6;750;2;; -1;1;2;4;50
75;202000000087;3;1084;0;;3;1;0;1;6;715;1;; -1;1;0;1;50
76;202000000088;3;RD43;-1;;2;2;0;2;(1);(1);3;; -1;1;0;3;50
77;202000000089;3;150 E;-1;;2;2;0;1;(1);(1);3;; -1;1;0;1;50
78;202000000090;2;249;-1;N;1;1;0;2;16;100;1;; -1;2;3;3;80
79;202000000092;1;A55-Sens Martigues vers Marseille;0;;3;3;0;1;17;200;1;; -1;1;0;1;110
80;202000000094;3;188;0;;2;2;0;1;6;300;2;; -1;1;0;3;80
81;202000000095;2;86;0;;2;4;0;1;53;291;1;; -1;1;0;1;90
82;202000000096;1;13;0;;3;3;0;1;36;99;1;;14;1;0;1;130
83;202000000097;1;BDL;0;;1;2;0;2;0;349;3;; -1;1;2;1;50
84;202000000098;1;15;0;;3;4;0;1;4;900;1;;14;1;2;1;110
85;202000000099;1;86;0;;3;3;0;1;9;699;1;;10,5;1;0;1;90
86;202000000100;3;45;0;;2;2;0;2;1;600;1;; -1;1;0;1;50
87;202000000101;3;110;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
88;202000000102;4;583;0;;2;2;0;1;0;0;2;; -1;1;5;3;50
89;202000000103;4;358;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
90;202000000104;3;3;2;;2;2;0;2;0;0;4;; -1;1;0;3;50
91;202000000105;4;CARAMBOLES (DES);0;;2;2;0;1;23;0;1;; -1;2;0;1;50
92;202000000106;3;MACE (ROUTE GABRIEL);0;;2;2;0;2;0;0;1;; -1;1;0;1;50
93;202000000107;4;DE LA GARE(RUE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
94;202000000108;4;GENERAL FRERE (DU)                  (AV);0;;2;2;1;1;1;0;1;; -1;1;0;4;50
95;202000000109;4;PATRICE LUMUMBA (RUE);0;;1;1;0;1;(1);(1);1;;5;1;0;1;30
96;202000000110;4;JEAN MOULIN                         (QU);0;;3;6;0;1;0;0;1;; -1;1;0;1;50
97;202000000111;4;GRANDE RUE                          (GR);0;;2;4;3;2;0;1;1;; -1;1;0;1;50
98;202000000112;4;MARIETTON                           (R );0;;2;2;0;1;0;0;1;; -1;2;0;1;50
99;202000000113;4;BON PASTEUR (DU)                  AV;0;;2;4;0;3;0;0;3;; -1;2;1;2;50
100;202000000114;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
101;202000000115;4;BRETIGNY (AVENUE DE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
102;202000000116;4;JEAN MERMOZ (RUE);0;;-1;0;0;1;0;0;3;; -1;1;0;1;30
103;202000000117;4;DORDOGNE (AVENUE DE);0;;3;2;0;1;0;0;1;; -1;2;0;1;30
104;202000000118;4;;0;;2;2;0;1;0;0;1;; -1;2;0;1;50
105;202000000119;4;;0;;-1;2;0;1;0;0;1;; -1;1;0;1;50
106;202000000120;2;7;0;;-1;2;0;2;0;0;1;; -1;1;0;8;50
107;202000000121;4;;0;;1;2;0;1;0;0;2;; -1;2;9;1;30
108;202000000122;4;GARIBALDI (BOULEVARD DES);0;;1;2;0;1;0;0;1;; -1;2;0;1;50
109;202000000123;4;PONTEIX (AVENUE DU);0;;4;3;0;1;1;799;1;; -1;2;0;1;70
110;202000000124;4;PIERRE SEMARD (avenue);0;;2;4;1;1;0;1;1;; -1;1;0;1;50
111;202000000125;3;RD225  (route touristique);0;;2;2;0;1;0;1;1;; -1;1;0;1;70
112;202000000126;4;RUE HOSEPH DE MONTGOLFIER;0;;2;3;1;1;0;1;1;; -1;1;0;1;50
113;202000000127;3;900;0;;2;4;1;2;3;770;1;; -1;1;0;1;50
114;202000000128;4;NC;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
115;202000000129;4;GRES ROSES (ALLEE DES);0;;1;1;0;1;0;0;1;; -1;1;9;8;30
116;202000000130;3;939;0;;2;2;0;2;0;1;1;; -1;1;5;1;50
117;202000000131;3;34E;0;;2;3;0;2;0;893;1;; -1;2;2;1;70
118;202000000132;3;603;0;;2;4;0;1;20;951;1;; -1;1;0;1;50
119;202000000133;3;RD11;0;;2;2;0;1;3;950;1;; -1;1;0;1;70
120;202000000134;4;DES PARCS(allée);0;;2;2;0;1;0;0;1;; -1;2;5;6;50
121;202000000135;4;ANSE D'  (rue);0;;2;2;0;1;1;0;1;; -1;1;0;1;50
122;202000000136;4;9;0;;2;4;1;1;0;0;1;; -1;2;0;1;50
123;202000000137;4;Napoleon Joseph Sarda-Garriga ( rue de );0;;2;2;0;1;0;0;3;; -1;1;0;1;50
124;202000000139;4;;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
125;202000000141;4;rue Auger;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
126;202000000142;4;;0;;1;1;0;2;(1);(1);2;; -1;3;0;1;30
127;202000000143;4;BARATTE (FAUBOURG);0;;2;2;0;1;0;0;1;; -1;2;0;1;50
128;202000000144;4;MARNE (AVENUE DE LA);0;;2;3;0;1;0;0;1;; -1;2;0;1;50
129;202000000145;3;465;0;;3;0;0;1;0;530;1;;0;1;0;1;70
130;202000000147;4;;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
131;202000000148;4;;0;;1;2;0;1;0;0;1;; -1;2;5;3;50
132;202000000149;3;951;0;;3;6;2;3;21;500;1;; -1;2;2;1;70
133;202000000150;3;1205;0;D;2;2;0;1;38;800;1;; -1;1;0;1;70
134;202000000151;2;2;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
135;202000000152;3;114;-1;;-1;2;0;3;(1);(1);2;; -1;1;0;3;-1
136;202000000153;2;2;0;;2;2;0;1;(1);(1);1;; -1;1;0;3;80
137;202000000154;3;19;-1;B;1;1;0;1;(1);(1);3;; -1;1;3;8;50
138;202000000155;2;40;-1;;2;2;0;2;107;200;3;; -1;1;0;1;80
139;202000000158;3;19;-1;;2;2;0;2;(1);(1);3;; -1;2;0;1;-1
140;202000000159;7;2;-1;M;2;2;0;2;23;100;3;; -1;1;0;1;80
141;202000000160;3;906;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
142;202000000161;3;30;-1;;-1;2;0;1;5;480;3;; -1;1;0;1;80
143;202000000162;4;52;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
144;202000000163;3;rd22;0;;2;2;0;1;19;350;2;; -1;1;5;1;50
145;202000000165;3;52;0;;2;2;0;1;4;500;1;; -1;2;0;1;80
146;202000000166;2;24;-1;;3;4;0;1;15;550;1;; -1;1;0;1;110
147;202000000167;3;901;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
148;202000000168;1;Autoroute A30;0;;3;4;0;1;19;500;2;; -1;1;0;3;110
149;202000000169;1;Autoroute A31;0;;3;4;0;1;327;399;1;; -1;1;0;1;110
150;202000000170;1;630;0;;1;1;0;2;19;30;3;; -1;2;3;1;50
151;202000000171;1;10;0;;3;6;0;2;531;599;1;; -1;1;0;1;130
152;202000000172;1;25;0;;3;4;0;1;19;299;1;; -1;1;0;1;110
153;202000000173;1;AUTOROUTE A10;0;;3;3;0;1;2;750;1;; -1;1;0;1;90
154;202000000174;1;86;0;;1;3;0;1;49;500;1;; -1;1;0;1;90
155;202000000175;1;AUTOROUTE A6;0;;1;3;0;1;16;950;1;; -1;1;0;2;110
156;202000000176;1;AUTOROUTE A6;0;;1;3;0;2;32;200;1;; -1;1;0;1;110
157;202000000177;2;12;0;;3;6;0;1;19;299;1;; -1;1;0;1;110
158;202000000178;2;406;0;W;3;2;0;1;2;799;1;; -1;1;0;1;90
159;202000000179;1;86;0;INT;-1;2;0;3;41;200;1;; -1;1;0;1;90
160;202000000180;4;268;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
