;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
20121;201700022306;3;1074;;;1.0;1.0;3.0;190.0;0.0;1.0;2.0;0.0;84.0;1.0;5.0;1.0;99.0
20122;201700022307;4;0;;;1.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20123;201700022308;3;18;;;2.0;2.0;;;0.0;1.0;2.0;30.0;71.0;1.0;0.0;1.0;99.0
20124;201700022309;6;0;;;0.0;0.0;;;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
20125;201700022310;4;0;;;1.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20126;201700022311;4;;;;1.0;1.0;;;0.0;1.0;1.0;10.0;52.0;1.0;0.0;1.0;99.0
20127;201700022312;3;974;;;2.0;2.0;11.0;315.0;0.0;1.0;1.0;0.0;88.0;1.0;0.0;1.0;0.0
20128;201700022313;4;0;;;1.0;1.0;;;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
20129;201700022314;3;470;;;3.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;53.0;2.0;5.0;1.0;0.0
20130;201700022315;4;0;;;1.0;3.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20131;201700022316;4;0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;3.0
20132;201700022317;3;973;;;2.0;4.0;25.0;0.0;0.0;4.0;1.0;0.0;0.0;2.0;0.0;1.0;99.0
20133;201700022318;3;233;;;2.0;2.0;8.0;700.0;0.0;1.0;;0.0;65.0;1.0;0.0;1.0;99.0
20134;201700022319;3;903;;;2.0;2.0;65.0;200.0;0.0;1.0;1.0;0.0;79.0;1.0;0.0;1.0;99.0
20135;201700022320;3;1005;;;2.0;2.0;13.0;700.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20136;201700022322;4;0;;;1.0;2.0;;;1.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
20137;201700022324;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0
20138;201700022325;4;0;;;2.0;2.0;;;1.0;1.0;1.0;0.0;70.0;2.0;0.0;1.0;0.0
20139;201700022326;4;0;;;3.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20140;201700022327;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20141;201700022328;4;0;;;2.0;2.0;;;1.0;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20142;201700022329;4;0;;;2.0;4.0;;;0.0;1.0;1.0;0.0;150.0;2.0;0.0;1.0;0.0
20143;201700022330;4;0;;;1.0;1.0;;;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20144;201700022331;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;80.0;1.0;0.0;1.0;0.0
20145;201700022332;4;0;;;2.0;2.0;;;1.0;1.0;1.0;0.0;110.0;1.0;0.0;1.0;0.0
20146;201700022333;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20147;201700022334;2;274;;;3.0;4.0;13.0;900.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20148;201700022335;4;0;;;2.0;2.0;;;3.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20149;201700022336;4;0;;;3.0;1.0;;;3.0;1.0;1.0;0.0;0.0;1.0;4.0;1.0;0.0
20150;201700022337;4;0;;;2.0;3.0;;;0.0;2.0;1.0;0.0;105.0;1.0;0.0;1.0;0.0
20151;201700022338;4;0;;0;2.0;1.0;;;0.0;3.0;1.0;0.0;57.0;1.0;0.0;1.0;0.0
20152;201700022339;4;0;;0;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20153;201700022340;4;0;;0;2.0;2.0;;;0.0;1.0;1.0;0.0;400.0;2.0;0.0;1.0;99.0
20154;201700022341;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20155;201700022342;2;274;;;1.0;2.0;8.0;600.0;0.0;2.0;1.0;0.0;120.0;1.0;0.0;1.0;99.0
20156;201700022343;4;0;;;1.0;1.0;;;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;99.0
20157;201700022344;4;0;;;3.0;3.0;;;3.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20158;201700022345;4;0;;0;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
20159;201700022346;2;274;;;1.0;2.0;16.0;200.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
20160;201700022347;2;274;;;3.0;2.0;6.0;600.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0
20161;201700022348;4;0;;;2.0;2.0;;;0.0;1.0;3.0;30.0;138.0;1.0;0.0;1.0;0.0
20162;201700022349;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;100.0;1.0;0.0;1.0;0.0
20163;201700022352;2;274;;;3.0;2.0;16.0;265.0;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0
20164;201700022353;2;274;;;3.0;4.0;14.0;0.0;0.0;2.0;1.0;0.0;30.0;2.0;0.0;1.0;0.0
20165;201700022354;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;2.0;0.0;1.0;0.0
20166;201700022356;4;;;;;;;;;;;;;;;;
20167;201700022357;3;37;;;2.0;2.0;35.0;620.0;0.0;2.0;0.0;0.0;10.0;1.0;;;
20168;201700022359;3;2;;;2.0;2.0;1.0;800.0;0.0;2.0;0.0;0.0;64.0;7.0;0.0;3.0;99.0
20169;201700022361;4;;;;2.0;2.0;;;0.0;2.0;3.0;0.0;60.0;1.0;0.0;1.0;99.0
20170;201700022363;4;;;;2.0;2.0;;;2.0;1.0;1.0;0.0;91.0;1.0;0.0;1.0;99.0
20171;201700022364;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20172;201700022365;3;65;;;2.0;2.0;18.0;770.0;0.0;1.0;2.0;0.0;70.0;1.0;0.0;1.0;99.0
20173;201700022366;3;11;;;2.0;2.0;29.0;1964.0;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;0.0
20174;201700022367;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;5.0;1.0;99.0
20175;201700022368;4;0;;;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0
20176;201700022369;3;788;;;2.0;2.0;1.0;387.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
20177;201700022371;3;786;;;2.0;2.0;65.0;0.0;0.0;2.0;1.0;0.0;90.0;1.0;5.0;1.0;99.0
